Hugo_Symbol	Entrez_Gene_Id	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
CLCA3P	9629	0	0	0	0	0	0	0.9074	0	0
CLCA4	22802	0	0	0	0	0	0	0	0	0
CLCC1	23155	881.509	750.785	897.398	759.118	831.197	928.268	974.692	1032.4	781.863
CLCF1	23529	27.2537	59.2287	664.612	142.897	215.812	73.0843	115.245	26.5487	91.23
CLCN1	1180	2.0964	0	0	0	0	1.0908	0	0	1.0861
CLCN2	1181	59.7484	31.6804	91.0168	53.5864	80.1282	109.081	39.9274	56.3154	46.7011
CLCN3	1182	580.713	488.981	742.356	553.726	665.598	671.939	954.628	864.039	784.143
CLCN4	1183	200.21	169.422	389.666	320.402	212.607	236.706	313.975	339.501	237.85
CLCN5	1184	2429.77	1589.53	1343.45	1514.93	1117.52	1483.5	1891.11	2331.46	1339.13
CLCN6	1185	392.034	380.165	477.838	444.32	605.769	517.044	313.067	325.825	283.465
CLCN7	1186	2158.28	2008.26	1634.51	1032.65	1710.47	1406.05	1623.41	2368.46	1209.88
CLCNKA	1187	4.1929	4.1322	0.9481	1.1164	3.2051	3.2724	3.6298	4.0225	1.0861
CLCNKB	1188	0	4.1322	0	0	1.0684	2.1816	0	0.8045	1.0861
CLDN10	9071	103.511	161.061	139.919	197.477	300.246	217.78	96.6969	151.867	185.718
CLDN11	5010	161.426	245.179	41.716	36.8406	103.632	176.711	36.2976	65.9694	31.4961
CLDN12	9069	1625.79	1455.92	1991.94	2245.05	1743.59	1928.55	1852.09	2102.98	1612.82
CLDN14	23562	1831.24	1254.82	239.867	2195.93	1185.9	1130.08	905.626	653.258	2093.95
CLDN15	24146	969.602	630.854	307.182	653.084	352.564	513.771	150.635	230.089	261.743
CLDN16	10686	15.7233	12.3967	12.3252	22.3277	35.2564	11.9989	18.1488	14.4811	18.4632
CLDN17	26285	0	0	0	0	0	0	0	0	0
CLDN18	51208	0	1.3774	0	0	2.1368	0	0.9074	0	0
CLDN1	9076	15298.7	8504.13	31212.1	18699.4	14162.4	12644.7	15958.3	12740.9	15376.6
CLDN19	149461	2.0964	6.8871	3.7924	0	1.0684	0	0	3.218	1.0861
CLDN20	49861	2.0964	0	1.8962	0	1.0684	1.0908	0	0	0
CLDN22	53842	0	0	0	0	0	0	0	0	0
CLDN23	137075	386.793	374.656	246.504	510.187	364.316	390.51	420.145	229.284	320.391
CLDN25	644672	0	0	0	0	0	0	0	0.8045	0
CLDN2	9075	1110.92	2757.09	1507.16	996.763	1659	1520	1979.74	1019.44	649.156
CLDN3	1365	895.178	904.959	559.374	1651.13	1641.03	1101.72	779.492	691.875	633.179
CLDN4	1364	85.9539	168.044	81.5359	315.936	981.838	267.248	462.795	49.0748	190.062
CLDN5	7122	214.885	1009.64	305.286	416.411	715.812	902.1	352.087	193.886	402.932
CLDN6	9074	5.2411	1.3774	0.9481	1.1164	22.4359	3.2724	0.9074	0	0
CLDN7	1366	390.985	508.264	173.501	763.606	1085.47	616.308	263.158	230.893	336.682
CLDN8	9073	3.1447	1.3774	1.8962	0	3.2051	0	0.9074	1.609	1.0861
CLDN9	9080	66.0377	88.1543	44.5603	103.824	198.718	95.9913	54.4465	47.4658	71.6807
CLDND1	56650	822.851	993.113	1311.21	1056.1	950.855	930.461	784.937	742.558	993.755
CLDND2	125875	6.2893	2.7548	1.8962	3.3491	3.2051	3.2724	2.7223	0.8045	5.4304
CLEC10A	10462	79.6646	464.187	140.318	136.199	182.692	247.614	68.9655	61.1424	64.0782
CLEC11A	6320	275.681	420.11	101.446	207.647	242.521	307.608	126.134	199.517	172.685
CLEC12A	160364	14.6751	41.3223	43.6122	32.3751	21.3675	29.4519	18.1488	20.1126	27.1518
CLEC12B	387837	1.0482	1.3774	1.8962	1.1164	5.3419	2.1816	0.9074	2.4135	0
CLEC14A	161198	247.38	862.259	239.867	308.122	670.94	753.75	294.011	223.653	377.953
CLEC16A	23274	455.975	473.829	401.043	337.148	566.239	364.33	449.183	706.356	520.228
CLEC17A	388512	0	1.3774	1.8962	0	1.0684	2.1816	3.6298	0.8045	0
CLEC18A	348174	13.5535	6.8871	12.3252	12.9054	21.3141	4.3632	9.9819	6.436	5.4304
CLEC18B	497190	1.0482	1.3774	6.6366	2.2328	4.2735	2.1816	1.8149	0	1.0861
CLEC18C	283971	1.1216	0	0.9481	1.6076	1.1218	0	0	0	0
CLEC1A	51267	16.7715	57.8512	36.0275	53.5864	54.4872	50.1773	16.3339	8.0451	56.4757
CLEC1B	51266	147.799	731.405	452.24	205.415	419.872	406.872	389.292	291.231	730.926
