Composite.Element.REF	TCGA-A6-3807-01	TCGA-A6-3808-01	TCGA-A6-3810-01	TCGA-AA-3518-01	TCGA-AA-3525-01	TCGA-AA-3526-01	TCGA-AA-3529-01	TCGA-AA-3531-01	TCGA-AA-3534-01	TCGA-AA-3552-01	TCGA-AA-3554-01	TCGA-AA-3558-01	TCGA-AA-3561-01	TCGA-AA-3664-01	TCGA-AA-3666-01	TCGA-AA-3672-01	TCGA-AA-3684-01	TCGA-AA-3695-01	TCGA-AA-3710-01	TCGA-AA-3715-01	TCGA-AA-3818-01	TCGA-AA-3848-01	TCGA-AA-3864-01	TCGA-AA-3986-01	TCGA-AA-3989-01	TCGA-AA-A004-01	TCGA-AA-A00E-01	TCGA-AA-A00F-01	TCGA-AA-A00J-01	TCGA-AA-A00O-01	TCGA-AA-A00U-01	TCGA-AA-A010-01	TCGA-AA-A017-01	TCGA-AA-A01C-01	TCGA-AA-A01D-01	TCGA-AA-A01F-01	TCGA-AA-A01I-01	TCGA-AA-A01K-01	TCGA-AA-A01P-01	TCGA-AA-A01R-01	TCGA-AA-A01S-01	TCGA-AA-A01T-01	TCGA-AA-A01V-01	TCGA-AA-A01X-01	TCGA-AA-A01Z-01	TCGA-AA-A022-01	TCGA-AA-A024-01	TCGA-AA-A029-01	TCGA-AA-A02E-01	TCGA-AA-A02H-01	TCGA-AA-A02J-01	TCGA-AA-A02O-01	TCGA-AA-A02R-01	TCGA-AA-A02Y-01	TCGA-AA-A03F-01	TCGA-AA-A03J-01	TCGA-AF-2691-01	TCGA-AF-2692-01	TCGA-AF-3400-01	TCGA-AF-3913-01	TCGA-AG-3574-01	TCGA-AG-3580-01	TCGA-AG-3584-01	TCGA-AG-3593-01	TCGA-AG-3594-01	TCGA-AG-4007-01	TCGA-AG-A002-01	TCGA-AG-A008-01	TCGA-AG-A00C-01	TCGA-AG-A00Y-01	TCGA-AG-A011-01	TCGA-AG-A014-01	TCGA-AG-A015-01	TCGA-AG-A016-01	TCGA-AG-A01J-01	TCGA-AG-A01L-01	TCGA-AG-A01N-01	TCGA-AG-A01W-01	TCGA-AG-A01Y-01	TCGA-AG-A020-01	TCGA-AG-A026-01	TCGA-AG-A02N-01	TCGA-AG-A02X-01	TCGA-AG-A032-01	TCGA-AG-A036-01	TCGA-AA-A00A-01	TCGA-AA-A00N-01	TCGA-AA-A00K-01	TCGA-AA-A00R-01	TCGA-AG-A00H-01
FKBP4|FKBP4	0.5730	-0.3218	-0.9128	0.2620	0.3703	0.0353	1.2405	0.6850	-2.1021	0.1401	0.4673	0.9041	0.0305	-1.0366	0.8296	1.3808	-0.0959	-0.0544	1.0498	-0.8334	0.3488	1.6969	1.8096	-1.1858	0.1349	-0.3848	1.2943	1.3126	-0.5776	1.0493	0.6142	-0.3291	1.1143	0.1338	-1.5139	-2.3272	-0.0883	-0.3955	-0.4520	1.1906	0.2304	0.5417	0.3493	-0.3380	-0.9896	0.2017	-1.4321	1.0351	-0.6943	-0.0035	-1.0210	0.4018	0.2979	0.4070	0.7577	-0.1261	-1.3685	-0.3213	-1.0719	0.2222	1.5536	1.0272	0.3581	-0.1631	0.8741	-2.9388	0.5032	0.3517	-1.6960	0.0429	0.0806	1.8559	0.3850	-1.5963	1.4433	0.8198	0.0921	-0.5611	-1.2608	0.6450	0.2054	0.4798	-0.4624	-0.5896	-1.1525	-0.2299	-2.8098	-1.3443	0.8853	0.0665
FKBP5|FKBP5	NaN	NaN	NaN	1.0160	NaN	-0.4277	-0.2091	1.1618	2.8771	-0.7770	NaN	0.6201	0.5621	0.3738	-0.8316	0.7636	NaN	NaN	1.0864	NaN	-0.6270	3.4552	1.1503	-0.1270	0.6514	NaN	-0.5866	-0.2577	-0.2568	-0.7740	0.6915	-0.2620	1.0192	NaN	-1.8965	NaN	0.8105	-0.9549	0.1772	0.6334	-0.6906	0.3694	1.2872	-0.5280	NaN	0.0801	NaN	NaN	-1.8792	NaN	-0.5755	NaN	1.1213	NaN	-1.0095	-0.0523	NaN	-0.1319	-0.4870	NaN	-0.9456	0.4934	NaN	0.0673	-0.8191	-1.3308	NaN	NaN	-0.2651	0.1982	-0.8623	-0.9393	NaN	-1.2910	0.8426	NaN	-0.2490	-0.7140	0.2279	0.2552	-0.2650	0.1819	-1.4736	NaN	-1.2554	-0.2928	NaN	-0.7155	1.8974	0.6888
FKBP8|FKBP8	0.9695	0.2078	0.1089	0.6141	-0.3580	-0.2371	0.2937	1.2576	-0.8842	0.1751	0.4323	-0.6745	-0.2847	-1.4464	1.1813	1.9260	0.5302	-0.4402	0.2834	-2.2128	-1.0031	1.3877	1.0923	-1.5574	0.5877	0.6364	1.4013	1.0458	-1.0832	0.6527	0.0526	-0.3263	0.6534	0.6400	NaN	0.3863	-0.6096	-0.0155	0.3377	0.9080	0.2093	0.7668	1.6805	-0.4913	NaN	-0.7530	-1.3281	1.2563	-0.5445	-0.2063	NaN	0.2001	-0.3959	0.1232	1.3326	0.1365	-3.6509	-0.1157	NaN	0.4895	0.5365	1.0806	0.8026	1.1884	0.7413	-1.9341	0.3921	0.2272	-1.3681	0.5577	NaN	0.8084	0.6355	-1.9941	1.4467	-0.6835	-0.6147	-1.2372	-0.8275	-0.4441	0.2997	-0.3824	-1.3782	-0.2872	-1.9864	-0.4558	-0.8550	-0.6666	0.6019	0.4584
FKBP9|FKBP9	-0.5850	-1.5379	0.3513	-0.7980	-0.5734	0.1453	0.9827	0.9871	-1.3554	0.6799	-0.6894	-0.7132	0.6846	-0.0612	1.1749	-1.4249	NaN	0.5575	0.0699	-1.6449	0.2343	1.1052	0.7910	-0.2498	0.1173	-1.8624	NaN	1.7878	-0.6369	1.7568	0.6257	NaN	1.5849	-1.1467	NaN	-0.0094	0.2324	0.0281	1.0746	-0.2220	-0.3156	1.1109	1.0503	0.6514	NaN	0.0317	-1.3138	0.5103	-0.0482	0.7927	-1.0705	0.4544	-2.3548	0.0868	-0.1700	-0.1180	0.1782	0.8159	-2.1828	0.0371	2.2568	NaN	0.3666	1.3764	-1.6774	-1.4536	0.5204	-1.7540	-0.1300	0.3215	0.6227	1.1116	1.2952	0.5276	1.6414	-0.2639	0.2870	-1.8911	NaN	-0.1650	0.1880	NaN	-1.1674	-0.1271	-0.0470	0.6766	-0.4748	-0.6300	-1.2129	0.1957
FLAD1|FLAD1	-0.0525	NaN	-0.0377	NaN	NaN	NaN	0.2126	NaN	NaN	0.7795	NaN	NaN	0.0506	1.6278	0.9939	0.3506	-1.1146	0.2186	-0.1267	NaN	NaN	-0.3171	1.2109	-0.6752	-0.3526	NaN	NaN	1.5031	-0.9392	1.4167	0.4862	NaN	0.4144	NaN	NaN	0.0132	NaN	NaN	0.5681	-0.4984	-0.0691	NaN	-0.3215	2.0677	NaN	-0.9862	-0.0454	NaN	0.0902	-0.6939	0.0278	NaN	-1.2764	0.6373	-0.4404	-1.1463	-1.9925	1.2204	NaN	NaN	0.8941	1.7428	-0.1445	0.5431	-0.9180	-1.4548	2.5482	-2.0861	-0.9264	0.2586	1.3089	0.2955	0.2999	-2.5704	NaN	0.0287	NaN	-0.5768	-0.1338	NaN	0.6008	-0.7453	NaN	NaN	-1.1452	-0.0120	NaN	-0.3326	NaN	-0.2785
FLII|FLII	1.1458	0.4124	-0.2958	0.2433	-1.0822	0.2417	0.4255	0.8789	-0.2818	0.3741	0.9119	0.6152	-0.1836	-1.1691	0.1808	0.1459	0.3287	-0.6348	0.7656	-2.6136	3.7276	1.1324	1.5972	-0.8528	1.2664	0.2631	0.8794	0.8799	-0.8520	0.1024	0.3447	0.2866	0.7522	0.3451	-1.2064	-1.8279	0.0517	1.5215	0.4074	0.5171	-0.4199	0.4108	0.8339	-1.1278	-2.3705	-0.6454	-0.8747	0.8609	-0.0723	-0.7087	-0.7775	0.1062	-0.4251	-0.0652	1.3705	-0.6946	-0.3238	0.0149	-0.5110	-0.0783	1.0779	0.6546	0.2537	0.6733	0.3698	-2.5182	1.4055	0.5547	-1.3239	0.3107	0.4612	0.3137	0.2924	-1.5818	1.0141	0.0390	0.0778	0.0993	-0.9440	0.3567	-0.9942	-1.6476	-1.3871	-0.2976	-1.6914	0.3392	-1.0850	-0.7739	0.9771	0.7273
FLNA|FLNA	0.7403	2.6806	0.9951	0.6371	-0.9610	0.3604	1.2114	0.9294	0.1214	-0.3167	0.6737	-1.0625	-0.2809	-1.0767	-0.6089	-0.6194	0.6688	0.5425	0.2915	-1.0513	1.7464	1.1779	0.5364	0.5457	-0.2734	0.4855	-0.2597	0.9094	-1.3718	0.7716	-0.5663	-0.0764	0.6104	0.8932	0.6867	-2.8053	-0.1350	0.8566	0.3974	-0.3141	-1.0943	-0.3727	1.5605	-0.6691	0.7542	-1.8038	-1.2511	-0.9794	-0.6454	-0.1635	-1.5013	-0.4635	-0.1344	0.5818	0.2023	-0.8508	-1.4744	0.9972	-0.1916	1.1228	0.3615	-0.0513	0.8479	0.8270	0.2641	-1.4975	-0.1378	-0.6077	-2.5222	0.2069	-0.1615	0.4438	0.2098	-1.1480	2.5203	-0.2272	-0.3571	-1.0838	2.6412	-0.9116	0.0308	-1.1852	-0.4318	-1.0213	0.5277	-0.2233	-0.3527	1.0701	0.1561	0.4996
FLNB|FLNB	1.0601	0.7187	-0.3030	0.0001	-1.9228	-0.1599	0.9847	1.1126	-0.8554	0.2043	0.8403	0.5141	-0.1679	-0.9945	0.6343	0.2514	0.3976	-0.2048	1.1039	-0.2848	0.5564	1.8276	1.9115	-1.3384	-0.0941	0.4997	0.6710	2.0371	-1.4306	0.4707	0.5169	0.0043	1.2794	0.8678	-0.9813	-1.9995	-0.0844	0.1066	1.0780	0.4306	-0.6861	0.5659	1.2594	-0.7814	0.9278	-1.2755	-0.5436	1.1630	-1.0729	-0.9888	-1.8837	-0.1979	-0.1957	-0.5341	1.3538	-0.6652	-1.4580	0.2508	-1.7871	0.0284	1.4483	0.5021	-0.2549	1.1343	0.0393	-2.6133	0.5576	-0.0752	-1.8485	0.9551	0.1879	0.5665	0.2019	-1.8414	2.2119	0.1115	-0.5422	-1.1545	0.5112	-0.0674	-0.2644	0.9598	-0.8748	-0.6807	-1.4324	-0.0746	-0.2039	-0.3753	-0.3257	0.5043
FLNC|FLNC	0.9592	2.7387	0.7301	0.3565	-0.7302	0.3713	1.2143	1.1631	-0.2343	-0.7419	0.4567	-0.6787	-0.5094	-0.8921	-0.5745	-0.9574	0.3557	0.2946	0.3192	-0.7698	1.8319	0.6666	0.4640	0.7093	-0.5716	0.4214	-0.3925	0.8029	-1.0306	0.3221	-0.3560	-0.1120	0.4801	0.2941	1.3234	-2.1821	-0.6083	0.5911	0.1136	-0.3305	-1.2160	0.1099	1.6389	-0.5582	-0.0137	-1.6499	-1.3989	-0.4898	-0.8096	-0.7933	-1.7226	-0.8444	-0.2963	0.8475	0.2487	-1.0964	-1.2751	1.0098	-0.8286	0.8135	1.3574	0.1525	1.0858	0.3801	0.5296	-0.8560	0.0013	-0.0660	-2.3401	-0.1957	-0.4228	1.0568	-0.0310	-0.6646	2.4571	0.0187	-0.0705	-1.0058	3.3287	-0.8261	0.2501	-0.5268	-1.1013	-0.8439	1.1248	-0.3386	-1.1330	1.1385	0.1277	0.4292
FLOT1|FLOT1	0.8780	2.6008	-0.1602	0.8140	-0.4737	0.3733	1.1342	1.4490	-1.0126	0.0379	0.1452	0.1963	-1.3146	1.4512	1.0555	0.9663	0.7711	-0.3280	-0.0976	-3.4743	0.5647	1.1332	0.7604	-0.5480	-0.0477	0.6904	0.7677	0.6892	-0.5780	0.9689	0.2820	0.3585	0.7686	0.8215	-1.7554	-1.4984	-0.1945	0.0801	1.5444	0.6545	-0.6299	0.9653	0.2794	-1.2373	-1.4823	-0.1841	-0.9068	0.2229	-0.2663	0.2242	-1.1815	-0.1753	-0.5232	0.1781	0.7930	-1.0757	-1.9332	-0.3501	-0.2227	-0.2744	0.1764	0.9997	0.0160	0.8637	0.8240	-2.1830	1.0988	-0.3783	-1.1758	0.7026	-0.6957	0.1712	0.6054	-2.0122	1.4625	-0.1705	1.2379	-0.8503	-0.7187	-0.6904	0.5981	-0.2575	-1.5837	-0.5878	-1.6808	0.1896	-0.1645	-0.2694	0.7450	1.0336
FLOT2|FLOT2	0.9300	-1.0266	-0.2682	0.6100	NaN	0.3257	1.2076	1.1680	-1.0078	-0.3076	0.7688	0.9082	-0.9409	-0.8723	0.7688	-0.2295	0.7472	-0.3065	0.3936	-2.7370	-1.3482	0.9431	-0.1608	-1.3352	0.7115	0.4420	0.7034	0.2807	0.3811	1.5464	-0.2325	0.3906	0.3695	1.0735	-1.6752	-0.7612	-0.2404	0.2198	0.7153	1.2187	0.0977	0.2322	0.8221	-0.8314	-2.7787	0.0168	-0.8688	-0.1895	-0.2006	0.1932	-1.3668	-0.2795	-0.6073	0.7756	0.4615	-0.2452	-1.6650	-0.1799	-0.0954	0.9057	0.0914	0.7318	-0.8583	1.6605	0.4582	-1.2250	0.3390	-0.3526	-2.2737	0.6407	0.5947	1.0447	0.9473	-2.1073	1.9267	-0.4875	2.7353	-0.2542	0.4857	-0.6735	0.4050	0.5889	NaN	-0.8457	-1.0520	0.0328	-0.6606	-1.2087	1.1434	0.6026
FMNL1|FMNL1	1.1597	0.2235	0.1157	1.2291	0.3415	0.8587	0.9641	0.3475	-0.4065	-0.0841	1.0721	-0.0373	-1.0020	-0.4891	NaN	1.5448	0.8299	NaN	1.3142	-1.9689	-0.9691	0.4167	0.0950	0.0534	-0.2968	0.9715	0.7219	0.1946	-1.2709	-0.0793	NaN	0.5799	-1.3334	0.5758	-0.7840	-1.9913	-0.3227	0.8321	1.4071	1.3892	-0.7597	0.2095	1.1366	NaN	NaN	-0.1095	NaN	0.1934	-1.2461	NaN	NaN	-0.3336	0.2611	-0.4081	1.0063	-0.9707	-1.7325	-0.8196	-1.2248	-1.0087	NaN	1.2566	0.2646	0.5148	0.9366	-1.6346	1.0142	-0.7001	-2.3550	0.4506	-0.0760	0.4824	NaN	-2.0665	1.3423	NaN	-0.1667	-0.1544	NaN	NaN	NaN	-2.2914	-0.7876	NaN	1.0843	-0.1513	0.1911	-0.2081	1.5285	1.1300
FMNL3|FMNL3	1.3213	NaN	-0.4059	0.6447	1.4311	-1.4712	1.4022	-0.2134	NaN	NaN	NaN	0.6714	-0.9909	NaN	NaN	NaN	-0.8389	-1.4597	0.2592	-1.3702	NaN	NaN	NaN	NaN	-0.4852	NaN	-0.6321	NaN	0.5093	0.7287	-0.7463	0.4779	-0.6040	NaN	-0.0110	NaN	NaN	0.4663	0.5583	0.6448	-0.9547	NaN	1.0418	-0.4466	NaN	NaN	0.8106	0.3280	-0.8886	1.1352	NaN	-0.5026	NaN	0.4978	NaN	-0.9012	-0.0802	-0.7536	NaN	0.1645	1.2663	1.6954	0.7836	NaN	1.2372	-2.8613	NaN	NaN	NaN	-0.5366	0.0649	1.7734	1.4491	-1.2563	0.7237	NaN	-0.0873	-0.6871	0.4947	NaN	NaN	1.8609	NaN	-0.6612	-1.1358	-0.3282	-0.9036	-1.7408	0.1608	-0.6482
FMO5|FMO5	NaN	NaN	NaN	NaN	NaN	-0.9548	-1.0341	NaN	-0.1309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4205	NaN	NaN	NaN	NaN	NaN	NaN	1.8393	NaN	0.6253	NaN	NaN	NaN	1.0471	0.7498	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2036	NaN	NaN	NaN	NaN	-1.1556	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3875	NaN	NaN	NaN	NaN	NaN	NaN	-0.1566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
FMOD|FMOD	-0.6344	1.1189	1.7247	0.8355	NaN	0.6333	2.0438	0.6207	-1.0057	NaN	0.4747	NaN	NaN	-1.1652	NaN	NaN	1.2136	-0.1974	-0.6972	-0.4780	0.9432	0.4288	0.3529	-0.5990	NaN	1.3067	-1.0380	-0.2399	-1.1580	1.4853	NaN	-0.0748	0.9832	1.0815	NaN	NaN	-0.6889	0.4052	0.3454	0.4121	NaN	-0.7509	NaN	-0.7241	NaN	-1.1475	-2.2079	-0.8957	-0.9211	NaN	-1.2187	NaN	1.5710	-0.5350	NaN	NaN	NaN	0.0087	1.3120	0.3917	0.6898	NaN	-0.3279	-0.0278	0.4765	-1.4863	1.8112	NaN	NaN	-0.8749	NaN	NaN	NaN	-1.3607	2.0500	NaN	NaN	NaN	-1.1994	NaN	-1.2135	NaN	-0.8900	NaN	-0.1051	0.3689	-0.6529	-0.2437	-0.5630	0.2331
FMR1|FMR1	NaN	NaN	-0.2728	0.2490	0.4626	NaN	0.6292	1.0495	NaN	-0.0806	0.1815	0.3063	NaN	0.6804	NaN	NaN	NaN	0.2817	-0.0137	NaN	-3.5589	1.5632	NaN	-0.2455	0.4296	0.0679	NaN	-0.2258	-0.4269	0.9328	0.3714	NaN	0.3489	NaN	NaN	-1.1804	0.4332	NaN	0.7044	1.1770	NaN	NaN	1.0780	0.1824	NaN	0.3268	-0.7557	-0.7504	-0.0565	0.6052	-2.5247	0.8857	0.0439	0.5783	NaN	0.3216	-1.9561	-0.3323	NaN	0.5133	NaN	1.3735	0.6066	1.3977	-0.8025	0.2030	NaN	NaN	-2.4887	0.4173	-0.4188	0.5057	0.1874	-3.2850	-0.0229	-0.1669	NaN	NaN	-0.5886	0.3939	0.7023	0.4918	0.4162	NaN	-0.3433	-0.0574	-0.4779	NaN	-0.4689	0.4022
FN1|FN1	0.2404	2.0119	1.3838	0.6342	-0.2321	0.6530	1.3130	1.6161	-0.3867	-0.7272	0.6934	0.6457	0.7298	-0.4406	-0.1879	0.2404	0.3272	0.5297	0.7496	0.6017	0.5564	0.9796	1.4312	-0.8340	-0.3361	-0.3800	0.2883	0.8806	-0.0020	0.3474	0.1272	-1.0046	0.4397	0.6250	-0.1720	-3.1499	-0.3597	1.2069	1.6720	-0.0165	-0.9881	-0.7623	-0.0097	-0.8004	0.0386	-0.5449	-0.9809	-0.8094	-0.7623	-0.0397	-0.8872	-0.3598	-0.3485	-1.1807	0.3588	-1.1694	-1.7349	1.6862	1.3623	1.1441	1.1050	0.6343	0.3875	0.0841	0.3452	-1.8316	1.2001	-0.5233	-2.9706	-0.2118	-0.1271	0.5107	-0.6413	-1.8201	1.5620	-0.6834	-1.3405	-0.7145	1.1701	-0.6428	-0.7160	-1.3243	-0.7974	-1.5731	-0.2013	0.3541	1.4657	0.3241	0.6221	0.4473
FN3K|FN3K	0.4050	-0.7756	0.1187	0.8306	0.4190	0.3356	NaN	0.6955	NaN	NaN	NaN	0.6650	0.8120	-0.9628	-0.0722	1.9592	-0.1172	-0.2144	0.1080	NaN	-0.0243	NaN	0.3412	NaN	NaN	-0.0452	0.4666	0.1683	0.2060	1.9994	0.0968	0.2011	1.0113	0.7148	NaN	-1.9862	-0.0008	0.0466	0.4409	1.2294	0.3505	-0.5565	0.5946	0.4675	NaN	-1.5978	-2.7606	0.0040	-1.0731	0.7433	NaN	NaN	0.4611	0.0904	NaN	0.7250	NaN	-0.0911	NaN	0.4459	NaN	NaN	-0.2702	1.2680	0.3400	-1.6376	0.8695	-0.8579	NaN	-0.2266	-0.2836	0.4068	NaN	-2.3317	1.0229	-1.2424	0.5135	-0.8887	-0.6152	-3.2762	0.6616	0.0518	NaN	-0.6620	-1.2888	2.2074	-0.9132	-0.4206	0.0237	0.6736
FN3KRP|FN3KRP	0.4740	-0.5749	NaN	0.0352	NaN	NaN	-2.0354	NaN	1.7550	NaN	NaN	0.8807	-0.5205	0.3537	NaN	-0.6231	0.6312	1.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9424	-1.8458	NaN	-1.3544	-0.1968	NaN	0.4349	0.5318	0.7556	NaN	NaN	-1.2324	0.7010	NaN	-0.4104	NaN	NaN	0.9417	-0.8262	-1.6925	-0.0745	NaN	NaN	-0.6001	NaN	NaN	0.7674	0.5496	NaN	0.6991	-1.9791	NaN	0.2027	NaN	0.5446	NaN	NaN	NaN	0.7208	0.2582	NaN	NaN	NaN	NaN	0.1507	NaN	NaN	NaN	NaN	2.2680	NaN	NaN	0.4561	0.7338	NaN	NaN	NaN	NaN	0.3165	-1.9800	0.8254	-0.8077	0.6588	-0.0234	NaN
FNBP1|FNBP1	NaN	NaN	NaN	NaN	NaN	0.3040	0.9563	0.1072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1653	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.5252	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0331	-0.4665	NaN	NaN	NaN	NaN	NaN	-0.4829	NaN	NaN	-0.6924	NaN	0.8656	NaN	NaN	-0.4646	NaN	-0.2368	NaN	NaN	NaN	NaN	NaN	NaN	-0.3180	NaN	-0.5765	NaN	NaN	NaN	NaN	NaN	0.0657	0.0812	NaN	-1.1504	1.9212	2.4800
FNBP1L|FNBP1L	NaN	NaN	NaN	NaN	NaN	0.3225	NaN	NaN	NaN	0.2663	NaN	NaN	NaN	NaN	NaN	0.0791	1.5731	NaN	NaN	NaN	NaN	NaN	0.4852	NaN	NaN	1.2440	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.1659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9237	-2.0446	-1.7267	NaN	NaN	NaN	NaN	0.2334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6122	NaN	NaN	NaN	NaN	NaN	1.2668	NaN	NaN	NaN	0.5162	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0492	NaN	-0.4645	NaN	NaN
FNBP4|FNBP4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3138	NaN	NaN	NaN	0.0045	NaN	NaN	NaN	-1.2436	NaN	NaN	0.1627	NaN	-0.5275	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7815	NaN	NaN	NaN	NaN	-0.7892	-1.3110	NaN	NaN	1.6039	0.6875	-1.5000	NaN	NaN	0.3969	NaN	NaN	1.5475	NaN	NaN	NaN	NaN	NaN	0.5006	NaN	NaN	NaN	NaN
FNDC3A|FNDC3A	-0.8209	NaN	NaN	0.2052	0.0781	-0.2815	NaN	2.4494	NaN	NaN	1.8732	0.6313	0.2498	NaN	0.2103	NaN	1.3583	NaN	0.3901	0.3509	NaN	0.4952	0.9809	-0.6806	1.3260	0.4225	0.7049	-0.0701	-0.8059	0.5229	-0.3894	0.1960	1.2409	NaN	NaN	-2.8571	-0.3315	NaN	-1.2072	-1.1705	NaN	0.2027	-0.2803	-0.5431	NaN	-0.4651	-0.9586	NaN	-1.1047	1.0666	NaN	-0.8270	1.3011	-0.3223	0.7125	-0.9951	NaN	-0.2231	-0.4673	1.3519	NaN	-0.2682	NaN	NaN	-0.5812	NaN	0.2657	-0.1711	-3.7511	0.3463	-1.6593	0.0866	0.7608	NaN	NaN	-0.0644	0.8565	NaN	NaN	NaN	-0.0987	-0.0406	NaN	-0.0002	NaN	-0.2334	NaN	0.4425	0.2393	0.3511
FNDC3B|FNDC3B	NaN	NaN	NaN	-1.2651	-0.8488	0.3825	1.6586	NaN	NaN	0.4052	-0.7600	NaN	0.0951	NaN	NaN	NaN	-0.6217	-0.7710	1.7451	NaN	-0.3587	1.3644	-0.2534	NaN	0.4318	NaN	0.3329	NaN	-2.7727	0.9075	0.7855	NaN	0.9808	NaN	NaN	NaN	1.5180	0.2656	0.7965	0.2535	0.2741	0.8307	0.1463	0.3441	NaN	NaN	NaN	NaN	NaN	-0.4925	NaN	0.2936	NaN	NaN	NaN	NaN	NaN	-1.8342	NaN	NaN	-0.2407	0.5553	NaN	NaN	NaN	-1.5785	0.0156	-0.4587	NaN	NaN	-1.5491	0.6114	NaN	-1.2805	NaN	NaN	NaN	-1.0244	NaN	-0.0109	-0.7224	NaN	-0.9895	NaN	0.0780	-0.1205	-0.8444	0.5541	2.2137	0.9576
FNTA|FNTA	0.4691	0.6796	-1.2257	0.1595	0.1334	-0.7196	0.3094	0.7814	0.0441	0.5779	0.9887	1.1386	0.1922	-1.4233	NaN	-0.1338	0.1980	0.2278	0.5839	-1.1649	0.2618	1.4411	1.1493	0.1212	1.0417	-0.0139	-0.7600	1.4481	-1.8034	0.4548	0.1973	-0.3613	1.0562	-1.5812	NaN	-0.5599	0.4224	3.1652	1.2167	0.2249	0.5489	-0.4095	1.7536	0.4117	-0.4507	-0.8877	-0.7021	0.5212	-1.5373	-2.0961	0.1863	0.7557	0.0865	-0.3963	0.9200	-1.8025	0.1573	-0.6865	-0.9602	-0.3013	1.5377	1.0672	1.2234	0.4059	0.5529	-0.9661	1.0100	-1.0565	-3.5681	0.2473	NaN	0.9780	-0.0768	0.3670	0.8090	-0.6445	-0.6219	-0.6038	-0.7084	-0.8804	0.0845	-0.5191	NaN	-1.8376	-0.4432	0.0893	-0.7281	0.1192	0.1056	0.0092
FOCAD|FOCAD	-0.9776	NaN	NaN	0.6217	NaN	1.5955	NaN	NaN	0.7496	NaN	-1.1697	-0.7139	NaN	-0.0354	-0.8699	0.6658	NaN	NaN	NaN	NaN	-1.1335	0.3291	NaN	NaN	NaN	NaN	NaN	-0.1285	NaN	NaN	NaN	NaN	0.9905	NaN	NaN	NaN	NaN	-1.1661	NaN	NaN	NaN	NaN	NaN	0.4392	0.1157	NaN	NaN	NaN	NaN	-1.0640	2.5446	0.1893	NaN	0.8687	NaN	NaN	NaN	NaN	NaN	NaN	-0.8058	-0.4797	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0470	-1.2980	NaN	NaN	0.6814	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9959
FOLR2|FOLR2	NaN	NaN	NaN	0.0376	NaN	-0.3960	-0.2182	NaN	NaN	NaN	-0.8374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8523	NaN	-0.4266	NaN	NaN	NaN	NaN	NaN	-0.1813	NaN	1.6804	NaN	NaN	NaN	NaN	NaN	-1.1347	NaN	NaN	0.7309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0107	NaN	NaN	NaN	NaN	NaN	NaN	2.2763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8072	NaN	NaN	NaN	0.2342	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4654	-1.1748	NaN
