ENTITY_STABLE_ID	NAME	DESCRIPTION	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01
6p_status	6p	Copy number status of 6p	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Unchanged	Gain	Gain	Unchanged	Gain	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Loss	Unchanged
6q_status	6q	Copy number status of 6q	Loss	Loss	Loss	Unchanged	Unchanged	Loss	Loss	NA	Unchanged	Loss	Loss	Unchanged	Unchanged	Loss	Loss	Loss	Gain	Loss	Loss	Loss	Loss	Loss	Loss	Loss	Gain	Loss	Loss	Loss	Loss	Unchanged	Loss	Loss	Loss	Unchanged	Loss	NA
7p_status	7p	Copy number status of 7p	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Gain	Gain	Unchanged	Unchanged	Unchanged	Loss
7q_status	7q	Copy number status of 7q	Unchanged	Unchanged	NA	Gain	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	NA	Unchanged	Unchanged	Unchanged	Unchanged
8p_status	8p	Copy number status of 8p	Loss	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	NA	Unchanged	Unchanged	Unchanged	Loss	Gain	Loss	Loss	Loss	Unchanged	Unchanged	NA	Unchanged	NA	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	NA	Unchanged
8q_status	8q	Copy number status of 8q	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	NA	NA	NA	Unchanged	NA	Gain	NA	Gain	NA	Unchanged	Unchanged	NA	Unchanged	Unchanged	NA	Unchanged	Unchanged	NA	Gain	Unchanged	Gain	Unchanged	NA	Unchanged
9p_status	9p	Copy number status of 9p	Loss	Unchanged	Unchanged	Loss	Loss	Loss	Unchanged	Loss	Unchanged	NA	Unchanged	Unchanged	Unchanged	Loss	Loss	NA	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	NA	Loss	NA	Unchanged	Loss	NA
9q_status	9q	Copy number status of 9q	Loss	Unchanged	Unchanged	Loss	Loss	Loss	Unchanged	NA	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Loss	NA	Unchanged	Loss	Unchanged	Unchanged	Loss	Loss	Loss	Loss	Loss	Loss	Unchanged	Unchanged	Loss	Unchanged
10p_status	10p	Copy number status of 10p	NA	Unchanged	Loss	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Loss	Gain	Unchanged	Unchanged	Unchanged
10q_status	10q	Copy number status of 10q	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	NA	NA	NA	Unchanged	Unchanged	NA	Unchanged	NA	Loss	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Loss	NA	Unchanged	Unchanged	NA
11p_status	11p	Copy number status of 11p	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	NA	Loss	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Gain	Loss	Unchanged	Unchanged	Unchanged	Unchanged
11q_status	11q	Copy number status of 11q	Unchanged	Unchanged	Gain	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	NA	Unchanged	Loss	Unchanged	Loss	Loss	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Loss	NA	Unchanged	Unchanged	Gain	Loss	Unchanged	Unchanged	Unchanged	Unchanged
12p_status	12p	Copy number status of 12p	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Unchanged	Gain	Unchanged	Unchanged	NA	Unchanged	Unchanged	NA	NA	Unchanged	Unchanged	Unchanged	Unchanged	Gain	NA	Unchanged	Unchanged	Unchanged
12q_status	12q	Copy number status of 12q	Unchanged	Unchanged	Loss	Unchanged	Unchanged	NA	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Loss	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	NA	Unchanged	Unchanged	Unchanged	Unchanged	Gain	NA	Unchanged	Unchanged	Unchanged
